municipality_clean,permit_count,simpson_index,shannon_index,foreign_born_pct,mean_income_sek,rental_share,owner_share,total_population,total_dwellings,permits_per_1000_pop,permits_per_1000_dwellings
Säter,10,0.149074298448316,0.2814893717599517,0.0811171395534999,235260.06403984703,0.323735828684542,0.676264171315458,11243.0,5557.0,0.8894423196655696,1.7995321216483715
Sävsjö,18,0.3182887184214062,0.4984238136281949,0.1985773054508056,215594.8320191978,0.3431801604668125,0.6568198395331875,11668.0,5484.0,1.5426808364758313,3.282275711159737
Söderhamn,8,0.2228832655475539,0.3821172339622056,0.1277657092284174,205474.378469708,0.379485294117647,0.618014705882353,24858.0,13600.0,0.3218279829431169,0.588235294117647
Söderköping,11,0.1343888638314452,0.2599111456079729,0.0724423219210331,246759.6354341831,0.3609510086455331,0.6387608069164266,14867.0,6940.0,0.7398937243559561,1.585014409221902
Södertälje,24,0.4924628745103804,0.6855910038737238,0.4386113793540709,259302.58098498816,0.5358627975454606,0.4641147249881993,102519.0,44489.0,0.23410294677084248,0.5394591921598597
Sölvesborg,19,0.2134570891177054,0.3698789639103049,0.1214878397711015,231401.47639484977,0.3052498853736817,0.6946354883081155,17475.0,8724.0,1.0872675250357653,2.1779000458505275
Tanum,14,0.2165156928001614,0.3738672505287119,0.1235134084726,223178.53867081227,0.2579960588146127,0.7418523571320297,12865.0,6597.0,1.0882238631947143,2.122176747006215
Tibro,10,0.2684254043383853,0.4392130431113342,0.1597246734909989,221849.78821037768,0.3063263041065482,0.6934887162412134,11332.0,5406.0,0.8824567596187787,1.8497965223825379
Tidaholm,5,0.1981901459416497,0.3497129844569052,0.1115351662902095,226046.0394111691,0.2657125077784691,0.7342874922215308,12839.0,6428.0,0.3894384297842511,0.7778469197261979
Tierp,17,0.2273796260488823,0.3879006810568317,0.1307979049686217,219871.9671589676,0.3416889058330156,0.6579298513152878,21193.0,10492.0,0.8021516538479687,1.6202821197102555
Timrå,4,0.1794524455585475,0.3243307064843937,0.0996579247434435,243562.4458380844,0.266591294516676,0.7332956472583381,17540.0,8845.0,0.22805017103762829,0.4522328999434709
